AREACD,P50
E01000325,30744.04
E01000326,29635.03
E01000327,29635.76
E01000328,28215.05
E01000329,28700.53
E01000330,26792.68
E01000331,26309.11
E01000332,26551.04
E01000333,24213.01
E01000334,27069.37
E01000335,24498.58
E01000336,23218.93
E01000337,25432
E01000338,25391
E01000339,27523.73
E01000340,27388.63
E01000341,26164.15
E01000342,27482.51
E01000343,26927.81
E01000344,27570.28
E01000345,31401.47
E01000346,27150.92
E01000347,25459.06
E01000348,31305.17
E01000349,29612.34
E01000350,28662.88
E01000351,28503.92
E01000352,25704.52
E01000353,28377.49
E01000354,26365.88
E01000355,27179.77
E01000356,28688.97
E01000357,31466.04
E01000358,27338.64
E01000359,30357.91
E01000360,27046.01
E01000361,28589.51
E01000362,27913.1
E01000363,28841.36
E01000364,28590.87
E01000365,26685.67
E01000366,29828.2
E01000367,23911.86
E01000368,23750.31
E01000369,28198.7
E01000370,28559.86
E01000371,28656.36
E01000372,24400.04
E01000373,22093.3
E01000374,24452.91
E01000375,27961.37
E01000376,25940.66
E01000377,27535.98
E01000378,26496.73
E01000379,26136.64
E01000380,25635.59
E01000381,25534.19
E01000382,30228.31
E01000383,26255.36
E01000384,26589.85
E01000385,24298.95
E01000386,23851.71
E01000387,29421.12
E01000388,26028.56
E01000389,28671.41
E01000390,26205.72
E01000391,25821.18
E01000392,25411.04
E01000393,27730.8
E01000394,27557.42
E01000395,28812.24
E01000396,27814.25
E01000398,25052.73
E01000399,26823.4
E01000400,26260.33
E01000401,25581.75
E01000402,24777.64
E01000403,24076.83
E01000404,22671.25
E01000405,24283.19
E01000406,24730.92
E01000407,26348.88
E01000408,24731.4
E01000409,28453.62
E01000410,28200.46
E01000411,26352.77
E01000412,26826.23
E01000413,26452.1
E01000414,24603.18
E01000415,30069.45
E01000416,23098.64
E01000417,26973.02
E01000418,24751.24
E01000419,27477.79
E01000420,28337.94
E01000421,27882.73
E01000422,20890.03
E01000423,30447.86
E01000424,33639.7
E01000425,33196.11
E01000426,29444.86
E01000427,27630.78
E01000428,25740.64
E01000429,22145.46
E01000430,26014.51
E01000431,21302.49
E01000432,24892.3
E01000433,21786.1
E01000434,22864.84
E01000435,23855.79
E01000436,29816.19
E01000437,26907.08
E01000438,26599.35
E01000439,25239.92
E01000440,28325.13
E01000441,24157.16
E01000442,27300.61
E01000443,26137.02
E01000444,34606.42
E01000445,28948.15
E01000446,29126.93
E01000447,30422.39
E01000448,33235.8
E01000449,32007.03
E01000450,26612.58
E01000451,27403.97
E01000452,29063.4
E01000453,27575.1
E01000454,25336.55
E01000455,27186.44
E01000456,28489.04
E01000457,27337.43
E01000458,30528.68
E01000459,26769.56
E01000460,35864.42
E01000461,31947.46
E01000462,27981.64
E01000463,31070.17
E01000464,22130.22
E01000465,22273.01
E01000466,22190.46
E01000467,23037.54
E01000468,22436.67
E01000469,24104.34
E01000470,21609.49
E01000471,23018.94
E01000472,24705.82
E01000473,22759.7
E01000474,22885.24
E01000475,23538.73
E01000476,24894.09
E01000477,21962.43
E01000478,23261.62
E01000479,22275.03
E01000480,23715.5
E01000481,22985.86
E01000482,23435.69
E01000483,22398.57
E01000484,24640.09
E01000485,22565.75
E01000486,23463.65
E01000487,22161.5
E01000488,23893.4
E01000489,25614.92
E01000490,28388.28
E01000491,24860.13
E01000492,25627.84
E01000493,23898.24
E01000494,26401.68
E01000495,25782.69
E01000497,23781.65
E01000498,21996.94
E01000499,22871.73
E01000501,23138.62
E01000502,24502.57
E01000503,22877.24
E01000504,26261.58
E01000505,22908.66
E01000506,22789.83
E01000507,24674.06
E01000508,23157.44
E01000509,22880.12
E01000510,22542.69
E01000511,24257.29
E01000512,26560.53
E01000513,22306.96
E01000514,23430.56
E01000515,21709.42
E01000516,21697.63
E01000517,23193.24
E01000518,21532.42
E01000519,21777.05
E01000520,23935.01
E01000521,22707.49
E01000522,23432.3
E01000523,23700.38
E01000524,23600.7
E01000525,23844.19
E01000526,23671.61
E01000527,24214.05
E01000528,24556.71
E01000530,26092.19
E01000531,25012.65
E01000532,26445.95
E01000533,23641.64
E01000534,24373.14
E01000535,24749.77
E01000536,26165.67
E01000538,25608.57
E01000539,26277.67
E01000540,29750.73
E01000541,25034.75
E01000543,24842.29
E01000544,22898.19
E01000545,26421.31
E01000546,26871.88
E01000547,29160.84
E01000548,25966.49
E01000549,30792.85
E01000550,24405.3
E01000551,22457.49
E01000552,23193.29
E01000553,23609.72
E01000554,24747.24
E01000555,24447.1
E01000556,22342.28
E01000557,25024
E01000558,28208.92
E01000559,27175.74
E01000560,27355.04
E01000561,25210.84
E01000562,28002.33
E01000563,26379.97
E01000564,22327.49
E01000565,24274.51
E01000566,25207.95
E01000567,24709.21
E01000568,28549.68
E01000569,27243.72
E01000570,23072.34
E01000571,22084.6
E01000572,24200.65
E01000573,22544.04
E01000574,23084.43
E01000575,23540.8
E01000576,22642.27
E01000577,22186.84
E01000578,23009.71
E01000579,26787.55
E01000580,29562.75
E01000581,24746.38
E01000582,28953.87
E01000583,28820.7
E01000584,24443.74
E01000585,27740.27
E01000586,25642.94
E01000587,22425.79
E01000588,22408.26
E01000589,23014.75
E01000590,25309.08
E01000591,21403.28
E01000592,22861.61
E01000593,24932.83
E01000594,21491.05
E01000595,24713.69
E01000596,24290.92
E01000599,24878.29
E01000600,23569.79
E01000601,23315.52
E01000602,22093.58
E01000603,25352.16
E01000604,21778.45
E01000605,21712.96
E01000606,22131.11
E01000607,22937.58
E01000608,22773.29
E01000609,23641.1
E01000610,22521.17
E01000611,22113.45
E01000612,22571.24
E01000613,23325.12
E01000615,24999.65
E01000616,22913.06
E01000617,23720.59
E01000618,23751.29
E01000619,25192.48
E01000620,24865.81
E01000621,23241.66
E01000622,20929.63
E01000623,24059.52
E01000624,22743.31
E01000625,24102.31
E01000626,22556.96
E01000627,21146.8
E01000628,22556.21
E01000629,22734.88
E01000630,23542.97
E01000631,23124.76
E01000632,22159.9
E01000633,22379.48
E01000634,22698.7
E01000635,22005.09
E01000636,23143.34
E01000637,26005.76
E01000638,22348.19
E01000639,26334.79
E01000640,22990.3
E01000641,23411.85
E01000642,26326.97
E01000643,24071
E01000644,25720.36
E01000645,42018.97
E01000646,29504.16
E01000647,28453.28
E01000648,31900.28
E01000649,34877.89
E01000650,33633.67
E01000651,31918.88
E01000652,31035.23
E01000653,34854.2
E01000654,26475.2
E01000655,27961.7
E01000656,29561.17
E01000657,25107.22
E01000658,28611.95
E01000659,28619.16
E01000661,24787.36
E01000662,23961.6
E01000663,25533.35
E01000664,26022.02
E01000665,25107.43
E01000666,30979.27
E01000667,31506.93
E01000668,30167.78
E01000669,26932.76
E01000670,36402.49
E01000671,28875.08
E01000672,32586.33
E01000673,31723.3
E01000674,29415.07
E01000675,29484.99
E01000676,25422.73
E01000677,29056.49
E01000678,32780.3
E01000679,28233.19
E01000680,31639.42
E01000681,31393.76
E01000682,29093.06
E01000683,29451.86
E01000684,33315.65
E01000685,27406.23
E01000686,29245.12
E01000687,29970.05
E01000688,34656.23
E01000689,26003.69
E01000690,32204.99
E01000691,28195.84
E01000692,30044.72
E01000693,31205.31
E01000694,37005.02
E01000695,35659.94
E01000696,37937.25
E01000697,37440.73
E01000698,31173.54
E01000699,25555.15
E01000700,30279.6
E01000701,30424.43
E01000702,30654.37
E01000703,32893.32
E01000704,27440.09
E01000705,26137.02
E01000706,28320.38
E01000707,34868.67
E01000708,30779.97
E01000709,30793.65
E01000710,32666.1
E01000711,32587.59
E01000712,32731.49
E01000713,33529.29
E01000714,31461.56
E01000715,32608.39
E01000716,34024.28
E01000717,31002.41
E01000718,25121.57
E01000719,24518.42
E01000720,22627.73
E01000721,23386.88
E01000722,24920.89
E01000723,26769.39
E01000724,22433.93
E01000725,24968.19
E01000726,27300.58
E01000727,26347.18
E01000728,24385.4
E01000729,22758.96
E01000730,22388.71
E01000731,23254.47
E01000732,27305.55
E01000733,25305.78
E01000734,26930.47
E01000735,23479.12
E01000736,23180.01
E01000737,24317.46
E01000738,24512.36
E01000739,23544.43
E01000740,26680.68
E01000741,28581.3
E01000742,27036.89
E01000743,23563.62
E01000744,22731.23
E01000745,27159.05
E01000746,29392.95
E01000747,26069.39
E01000748,26146.04
E01000749,27200.69
E01000750,24671.96
E01000751,28900.44
E01000752,27041.52
E01000753,34598.29
E01000754,28659.08
E01000755,30247.17
E01000756,30305.76
E01000757,36180.74
E01000758,34075.63
E01000759,31140.89
E01000760,27119.12
E01000761,29744.33
E01000762,29515.14
E01000763,29492.65
E01000764,28777.16
E01000765,29292.15
E01000766,31814.71
E01000767,31615.22
E01000768,31316.54
E01000769,30187.4
E01000770,33789.45
E01000771,33361.2
E01000772,30521.06
E01000773,29393.94
E01000774,28087.04
E01000775,31579.35
E01000777,30325.61
E01000778,26796.09
E01000779,30607.15
E01000780,24960.78
E01000781,23924.63
E01000782,23009.25
E01000783,23032.65
E01000784,28959.65
E01000785,23910.86
E01000786,29336.28
E01000787,24249.61
E01000788,27993.64
E01000789,21873.66
E01000790,30221.92
E01000791,26949.65
E01000792,28046.42
E01000793,33473.51
E01000794,33102.19
E01000795,29055.4
E01000796,22176.12
E01000797,32074.27
E01000798,22806.41
E01000799,25770.29
E01000800,24178.17
E01000801,26535.14
E01000802,27774.14
E01000803,28019.63
E01000804,31017.84
E01000805,27654.47
E01000806,22785.47
E01000807,33190.97
E01000808,32630.35
E01000809,30338.42
E01000810,38272.18
E01000811,30942.5
E01000812,31622.71
E01000813,32066.42
E01000814,39602.13
E01000815,41682.7
E01000816,28944.12
E01000818,29554.78
E01000819,24294.49
E01000820,28062.38
E01000822,27074.92
E01000823,32002.4
E01000824,30174.07
E01000825,27861.82
E01000826,38324.38
E01000827,31153.67
E01000828,29320.69
E01000829,30740.78
E01000830,35281.05
E01000831,31301.61
E01000832,29419.94
E01000833,32588.93
E01000834,31073.44
E01000835,28499.81
E01000836,31323.44
E01000837,28542.31
E01000838,29718.07
E01000839,34456.84
E01000840,31065.22
E01000841,30482.26
E01000842,35901.97
E01000843,30791.74
E01000844,37483.71
E01000845,33057.06
E01000846,22834.26
E01000847,24442.13
E01000848,36329.44
E01000849,33437.33
E01000850,30151.57
E01000851,28163.38
E01000852,21857.91
E01000853,25832.51
E01000854,25128.51
E01000855,31084.95
E01000856,24223.34
E01000857,29967.77
E01000858,24502.71
E01000859,32040.28
E01000860,25575.73
E01000861,24728.78
E01000862,36944.18
E01000863,27924.88
E01000864,26055.55
E01000865,28802.12
E01000866,26753.26
E01000867,24460.38
E01000868,21452.01
E01000869,29178.25
E01000870,27167.14
E01000871,29311.42
E01000872,27931.12
E01000873,32814.08
E01000874,35774.09
E01000875,28733.55
E01000876,26447.68
E01000877,32031.26
E01000878,29130.75
E01000879,35601.15
E01000880,36368.84
E01000881,33524.36
E01000882,42778.98
E01000883,30737.41
E01000884,31667.48
E01000885,35081.05
E01000886,33150.55
E01000887,30171.19
E01000888,29240.8
E01000889,24272.11
E01000890,22612.13
E01000891,22732.68
E01000892,29244.76
E01000893,31403.32
E01000894,37337.07
E01000895,29396.88
E01000896,34925.3
E01000897,41099.53
E01000898,32601.3
E01000899,37895.39
E01000900,27216.88
E01000901,22910.21
E01000902,23582.61
E01000903,28800.71
E01000904,24349.99
E01000905,23693.59
E01000906,33730.41
E01000907,26336.54
E01000908,25312.61
E01000909,29050.84
E01000910,31255.74
E01000911,26188.88
E01000912,25634.58
E01000913,36377.3
E01000914,27596.69
E01000915,23340.11
E01000916,26955.81
E01000917,22503.65
E01000918,25310.48
E01000919,26058.48
E01000920,27006.91
E01000921,31441.09
E01000922,26957.18
E01000923,29597
E01000924,29796.18
E01000925,23074.89
E01000926,25255.18
E01000927,29239.07
E01000928,28268.82
E01000929,21810.38
E01000930,24417.21
E01000931,24855.25
E01000932,30058.92
E01000933,29892.6
E01000934,24000.42
E01000935,20825.04
E01000936,24624.57
E01000937,26160.99
E01000938,23481.18
E01000939,22076.37
E01000940,23416.05
E01000941,21931.88
E01000942,27462.62
E01000943,26171.61
E01000944,21623.73
E01000945,23631.44
E01000946,25818.64
E01000947,25395.55
E01000948,26488.65
E01000949,28610.19
E01000950,19761.44
E01000951,20616.91
E01000952,22635.86
E01000953,23997.88
E01000954,19784.11
E01000955,22540.16
E01000956,22709.03
E01000957,25552.29
E01000958,23912.58
E01000959,21647.94
E01000960,31461.33
E01000961,23562.02
E01000962,40674.56
E01000963,28577
E01000964,29222.62
E01000965,32540.64
E01000966,42872.48
E01000967,29512.59
E01000968,33949.72
E01000969,39227.47
E01000970,38156.94
E01000971,36502.81
E01000972,26115.96
E01000973,28942.64
E01000974,27026.68
E01000975,26747.73
E01000976,24794.9
E01000977,25332.14
E01000978,27803.08
E01000979,28522.22
E01000980,25647.27
E01000981,27798.37
E01000982,26553.78
E01000983,29015.53
E01000984,25860.56
E01000985,30363.28
E01000986,31184.09
E01000987,30744.07
E01000989,28628.77
E01000990,22560.81
E01000991,28040.97
E01000992,24269.56
E01000993,27064.75
E01000994,25339.92
E01000995,22661.99
E01000996,25416.85
E01000997,24672.05
E01000998,23234.23
E01000999,23854.69
E01001000,24594.29
E01001001,23654.9
E01001002,24338.63
E01001003,24314.23
E01001004,24036.41
E01001005,21737.45
E01001006,22803.29
E01001007,22683.22
E01001008,21912.83
E01001009,24328.23
E01001010,23521.59
E01001011,22645.75
E01001012,22399.74
E01001013,21771.7
E01001014,25001.42
E01001015,27703.31
E01001016,29689.3
E01001017,31693.68
E01001018,30283.82
E01001019,32743.35
E01001020,29689.29
E01001021,23817.33
E01001022,28890.47
E01001023,26058.99
E01001024,29494.39
E01001025,30405.91
E01001026,27569.45
E01001027,31310.67
E01001028,33858.48
E01001029,31657.46
E01001030,34860.39
E01001031,34399.89
E01001032,37151.34
E01001033,28373.09
E01001034,31815.59
E01001035,28861.43
E01001036,33890.42
E01001037,25777.68
E01001038,29583.37
E01001039,34274.12
E01001040,28040.48
E01001041,26857.93
E01001042,24684.16
E01001043,24862.16
E01001044,33973.72
E01001045,27989.71
E01001046,31824
E01001047,27655.01
E01001048,26705.89
E01001049,34336.72
E01001050,28073.53
E01001051,22387.73
E01001052,22192.75
E01001053,23433.95
E01001054,22930.84
E01001055,23248.29
E01001056,20346.35
E01001057,20421.18
E01001058,28309.29
E01001059,26771.6
E01001060,26865.44
E01001061,25800.42
E01001062,32612.87
E01001063,30749
E01001064,29782.48
E01001065,28026.93
E01001066,21835.21
E01001067,33916.91
E01001068,29728.8
E01001069,32014.6
E01001070,26411.76
E01001071,28903.92
E01001072,32665.24
E01001073,30647.19
E01001074,27853.9
E01001075,29318.49
E01001076,23367.62
E01001077,25296.88
E01001078,23044.35
E01001079,22946.13
E01001080,22500.02
E01001081,24049.5
E01001082,23187.56
E01001083,26263.4
E01001084,26914.25
E01001085,23584.92
E01001086,25302.22
E01001087,23992.86
E01001088,24140.82
E01001089,22309.52
E01001090,24137.55
E01001091,26008.36
E01001092,30814.05
E01001093,29863.47
E01001094,33043.53
E01001095,26906.07
E01001096,34881.29
E01001097,26429.85
E01001098,36657.88
E01001099,29748.69
E01001100,30136.21
E01001101,33554.3
E01001102,31679.25
E01001103,29274.73
E01001104,32196.17
E01001105,25935.49
E01001106,27101.47
E01001107,34399.82
E01001108,34523.24
E01001109,23162.25
E01001110,24821.14
E01001111,25098.03
E01001112,25096.82
E01001113,24884.57
E01001114,21829.55
E01001115,23527.96
E01001116,24468.06
E01001117,23770.01
E01001118,22661.25
E01001119,29319.34
E01001120,27155.48
E01001121,32076.27
E01001122,35206.62
E01001123,32095.34
E01001124,33178.64
E01001125,29345.78
E01001126,29039.26
E01001127,31584.25
E01001128,21649.26
E01001129,31901.66
E01001130,19775.38
E01001131,26177.51
E01001132,27724.83
E01001133,26825.05
E01001134,29633.86
E01001135,28581.71
E01001136,24843.56
E01001137,26382.49
E01001138,28715.97
E01001139,26663.83
E01001140,28425.35
E01001141,24431.34
E01001142,28497.29
E01001143,24743.96
E01001144,25477.66
E01001145,21190.7
E01001146,23757.16
E01001147,22968.71
E01001148,25116.7
E01001149,26289.13
E01001150,26933.28
E01001151,23019.67
E01001152,23899.72
E01001153,24432.94
E01001154,23199.49
E01001155,22566.21
E01001156,25995.39
E01001157,25180.74
E01001158,25308.66
E01001159,25348.29
E01001160,24025.54
E01001161,23054.33
E01001162,25907.82
E01001163,27489.36
E01001164,27395.72
E01001165,24359.02
E01001166,24118.44
E01001167,25793.56
E01001168,27391.03
E01001169,23509.14
E01001170,25296.41
E01001171,24645.6
E01001172,21264.87
E01001173,26482.56
E01001174,24882.82
E01001175,22784.42
E01001176,23363.24
E01001177,23456.81
E01001178,22526.43
E01001179,22379.09
E01001180,22721.22
E01001181,23548.58
E01001182,23911.94
E01001183,22153.67
E01001184,24730.62
E01001185,27215.14
E01001186,24303.68
E01001187,24925.96
E01001188,24524.7
E01001189,26937.91
E01001190,24184.66
E01001191,24191.22
E01001192,24945.49
E01001193,23987.88
E01001194,26916.64
E01001195,26192.25
E01001196,23335.28
E01001197,25239.64
E01001198,27475.85
E01001199,25733.43
E01001200,28131.7
E01001201,28461.77
E01001202,23215.56
E01001203,24819.12
E01001204,30370.6
E01001205,27037.13
E01001206,20378.77
E01001207,29641.73
E01001208,31093.43
E01001209,31531.6
E01001210,21610.24
E01001211,31248.84
E01001212,33723.17
E01001213,23368.2
E01001214,24450.67
E01001215,22369.23
E01001216,24614.32
E01001217,23805.79
E01001218,22873.16
E01001219,20578.75
E01001220,21295.98
E01001221,28612.33
E01001222,28876.29
E01001223,33652.82
E01001224,35893.03
E01001225,32602.99
E01001226,33362.01
E01001227,32936.52
E01001228,30874.75
E01001229,25168.01
E01001230,36076.89
E01001231,30735.6
E01001232,26401.4
E01001233,29082.4
E01001234,28613.09
E01001235,33504.32
E01001236,30840
E01001237,31755.54
E01001238,25812.37
E01001239,25014.28
E01001240,23952.32
E01001241,22277.12
E01001242,25300.76
E01001243,25694.48
E01001244,25727.5
E01001245,29537.1
E01001246,23563.85
E01001247,24337.13
E01001248,27010.12
E01001249,24829.83
E01001250,25931.54
E01001251,28663.6
E01001252,24814.19
E01001253,28411.09
E01001254,28563.91
E01001255,30726.78
E01001257,22142.17
E01001258,23312.33
E01001259,23545.71
E01001260,22395.54
E01001261,23019.64
E01001262,22833.94
E01001263,23791.77
E01001264,23751.02
E01001265,24650.34
E01001266,25410.44
E01001267,23814.63
E01001268,24623.36
E01001269,23165.61
E01001270,25928.46
E01001271,23017.63
E01001272,23474.82
E01001273,30362.15
E01001274,29542.52
E01001275,32328.71
E01001276,24038.92
E01001277,24386.16
E01001278,24386.56
E01001279,35490.39
E01001280,30925.85
E01001281,38052.27
E01001282,22231.19
E01001283,24852.8
E01001284,26442.5
E01001285,24365.17
E01001286,25997.75
E01001287,21756.2
E01001288,28444.89
E01001289,29095.14
E01001290,30288.62
E01001291,24834.21
E01001292,26172.88
E01001293,22354.87
E01001294,24800.97
E01001295,25257.53
E01001296,22739.13
E01001297,23135.11
E01001298,22580.29
E01001299,30186.1
E01001300,33179.13
E01001301,26308.18
E01001302,32937.37
E01001303,35706.27
E01001304,29635.82
E01001305,32025.8
E01001306,33426.18
E01001307,24668.45
E01001308,26081.04
E01001309,25182.86
E01001310,24753.64
E01001311,23062.64
E01001312,23554.54
E01001313,24404.82
E01001314,24351.98
E01001315,25456.45
E01001316,21864.77
E01001317,22851.75
E01001318,22684.09
E01001319,24062.42
E01001320,22066.79
E01001321,23266.13
E01001322,24440.82
E01001323,25165.27
E01001324,24703.28
E01001325,23803.47
E01001326,22692.47
E01001327,23534.97
E01001328,21447.62
E01001329,23866.33
E01001330,20870.7
E01001331,21686.63
E01001332,23297.61
E01001333,21098.83
E01001334,19914.26
E01001335,25990.58
E01001336,24877.33
E01001337,24901.25
E01001338,23956.02
E01001339,22861.9
E01001340,23256.61
E01001341,22864.17
E01001342,23375.71
E01001343,22631.04
E01001344,24373.43
E01001345,22097.18
E01001346,24364.96
E01001347,23743.6
E01001348,24486.61
E01001349,23639.33
E01001350,29994.03
E01001351,26906.92
E01001352,27931.31
E01001353,26703.47
E01001354,31299.03
E01001355,26342.58
E01001356,20110.23
E01001357,23347.91
E01001358,20742.45
E01001359,21144.33
E01001360,22487.96
E01001361,19094.2
E01001362,21620.77
E01001363,21842.69
E01001364,22692.69
E01001365,21614.72
E01001366,20996.1
E01001367,20174.96
E01001368,22736.2
E01001369,22515.32
E01001370,22529.8
E01001371,21819.49
E01001372,21816.45
E01001373,21850.49
E01001374,33246.83
E01001375,39110.2
E01001376,29342.68
E01001377,33914.23
E01001379,40905.49
E01001380,34946.07
E01001381,28308.21
E01001382,40237.08
E01001383,31755.3
E01001384,33807.87
E01001385,31519.45
E01001386,36073.06
E01001387,32961.73
E01001388,24941.79
E01001389,29133.57
E01001390,28336.85
E01001391,24675.55
E01001392,25404.63
E01001393,25399.27
E01001394,22770.48
E01001395,21447.63
E01001396,22492.6
E01001397,22962.44
E01001398,31861.46
E01001399,28268.85
E01001400,29169.86
E01001401,26564.66
E01001402,28857.48
E01001403,25299.63
E01001404,24206.7
E01001405,27196.38
E01001406,27417.78
E01001407,26322.41
E01001408,27746.19
E01001409,24791.41
E01001410,22061.84
E01001411,28381.57
E01001412,23376.9
E01001413,30107.78
E01001414,22542.51
